frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
138,1,1,0.896,1.000,-0.1095
139,1,1,0.907,1.000,-0.1083
140,1,1,0.886,1.000,-0.1094
141,1,1,0.868,1.000,-0.1103
142,1,1,0.885,1.000,-0.1126
143,1,1,0.898,1.000,-0.1113
144,1,1,0.908,1.000,-0.1102
145,1,1,0.887,1.000,-0.1094
146,1,1,0.869,1.000,-0.1087
147,1,1,0.855,1.000,-0.1076
148,1,1,0.844,1.000,-0.1078
149,1,1,0.875,1.000,-0.1107
150,1,1,0.890,1.000,-0.1113
151,1,1,0.902,1.000,-0.1118
152,1,1,0.912,1.000,-0.1128
153,1,1,0.919,1.000,-0.1136
154,1,1,0.926,1.000,-0.1136
155,1,1,0.930,1.000,-0.1137
156,1,1,0.934,1.000,-0.1137
157,1,1,0.937,1.000,-0.1138
158,1,1,0.950,1.000,-0.1159
159,1,1,0.950,1.000,-0.1193
160,1,1,0.950,1.000,-0.1219
161,1,1,0.950,1.000,-0.1219
162,1,1,0.950,1.000,-0.1219
163,1,1,0.960,1.000,-0.1203
164,1,1,0.968,1.000,-0.1190
165,1,1,0.974,1.000,-0.1196
166,1,1,0.970,1.000,-0.1201
167,1,1,0.936,1.000,-0.1194
168,1,1,0.908,1.000,-0.1178
169,1,1,0.887,1.000,-0.1165
170,1,1,0.899,1.000,-0.1165
171,1,1,0.880,1.000,-0.1155
172,1,1,0.894,1.000,-0.1152
173,1,1,0.905,1.000,-0.1165
174,1,1,0.914,1.000,-0.1155
175,1,1,0.921,1.000,-0.1157
176,1,1,0.927,1.000,-0.1159
177,1,1,0.902,1.000,-0.1176
178,1,1,0.881,1.000,-0.1190
179,1,1,0.895,1.000,-0.1190
180,1,1,0.906,1.000,-0.1191
181,1,1,0.915,1.000,-0.1191
182,1,1,0.922,1.000,-0.1202
183,1,1,0.927,1.000,-0.1200
184,1,1,0.942,1.000,-0.1193
185,1,1,0.954,1.000,-0.1188
186,1,1,0.963,1.000,-0.1231
187,1,1,0.960,1.000,-0.1245
188,1,1,0.968,1.000,-0.1240
189,1,1,0.965,1.000,-0.1251
190,1,1,0.932,1.000,-0.1261
191,1,1,0.945,1.000,-0.1268
192,1,1,0.956,1.000,-0.1274
193,1,1,0.925,1.000,-0.1290
194,1,1,0.900,1.000,-0.1302
195,1,1,0.910,1.000,-0.1285
196,1,1,0.918,1.000,-0.1288
197,1,1,0.924,1.000,-0.1290
198,1,1,0.930,1.000,-0.1324
199,1,1,0.934,1.000,-0.1350
200,1,1,0.947,1.000,-0.1345
201,1,1,0.958,1.000,-0.1341
202,1,1,0.966,1.000,-0.1338
203,1,1,0.973,1.000,-0.1335
204,1,1,0.938,1.000,-0.1270
205,1,1,0.911,1.000,-0.1238
206,1,1,0.888,1.000,-0.1219
